tool,session_id,date,timestamp,project,cwd,model,reasoning_effort,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,main_total_tokens,full_total_tokens,reported_total_tokens,cost_usd,live
codex,0199cd88-3a1e-7f90-93c4-afa443f1ab2a,2025-10-10,2025-10-10T09:54:26+00:00,postnl-assignment,/Users/family/Documents/Documents - Giuseppe’s MacBook Air/repo/PostNL/postnl-assignment,,,0,0,0,0,36475,36475,36475,0.0,0
codex,019a1624-2da8-7363-a1f2-412e00a6d140,2025-10-24,2025-10-24T12:52:36+00:00,barcode-scanner,/Users/family/dev/barcode-scanner,,,0,0,0,0,3125245,3125245,3125245,0.0,0
codex,019a1655-c186-70d3-a7be-88cf43d68632,2025-10-24,2025-10-24T18:12:16+00:00,barcode-scanner,/Users/family/dev/barcode-scanner,,,0,0,0,0,5281899,5281899,5281899,0.0,0
codex,019a1c1e-1f17-7bb1-947b-a8a0978e0b3f,2025-10-25,2025-10-25T17:25:40+00:00,barcode-scanner,/Users/family/dev/barcode-scanner,,,0,0,0,0,3091622,3091622,3091622,0.0,0
codex,019a209c-d02e-7100-bdd2-56b1502734c8,2025-10-31,2025-10-31T12:49:07+00:00,barcode-scanner,/Users/family/dev/barcode-scanner,,,0,0,0,0,71362766,71362766,71362766,0.0,0
codex,019a3a53-921a-7192-af47-e1742f867b8a,2025-11-11,2025-11-11T11:05:52+00:00,barcode-scanner,/Users/family/dev/barcode-scanner,,,0,0,0,0,34278694,34278694,34278694,0.0,0
codex,019a729f-ed7a-7d21-a5a5-962ca0d0f9fa,2025-11-14,2025-11-14T09:28:25+00:00,barcode-scanner,/Users/family/dev/barcode-scanner,,,0,0,0,0,23143416,23143416,23143416,0.0,0
codex,019a81bb-9285-7f20-89a6-40babcf25fb7,2025-11-17,2025-11-17T08:39:51+00:00,infoscreen,/Users/family/dev/infoscreen,,,0,0,0,0,436457,436457,436457,0.0,0
codex,019a962d-d135-7f72-b9ef-ec8c8b7d8e18,2025-11-18,2025-11-18T09:06:04+00:00,infoscreen,/Users/family/dev/infoscreen,,,0,0,0,0,1169398,1169398,1169398,0.0,0
codex,019a963a-73c1-7a90-afe5-75232ffaff22,2025-11-18,2025-11-18T14:59:48+00:00,barcode-scanner-clean,/Users/family/dev/barcode-scanner-clean,,,0,0,0,0,26802581,26802581,26802581,0.0,0
codex,019a9cdc-ae0a-75a0-adba-1c085c70e56f,2025-11-19,2025-11-19T16:05:22+00:00,doodle,/Users/family/dev/doodle,,,0,0,0,0,24404,24404,24404,0.0,0
codex,019a9cce-5ec5-75a2-9c4a-b6c136c1f609,2025-11-19,2025-11-19T16:09:26+00:00,doodle,/Users/family/dev/doodle,,,0,0,0,0,1510863,1510863,1510863,0.0,0
codex,019aa05f-2249-7903-af6b-c34ba5a2c698,2025-11-20,2025-11-20T08:26:32+00:00,doodle,/Users/family/dev/doodle,gpt-5.1-codex-max,medium,0,0,0,0,14605,14605,14605,0.0,0
codex,019aa0b7-bc04-7981-a07b-476a7ccefada,2025-11-20,2025-11-20T10:03:12+00:00,actions-runner,/Users/family/dev/actions-runner,gpt-5.1-codex-max,medium,0,0,0,0,3487,3487,3487,0.0,0
codex,019aa0d8-723f-7063-b699-5d1bfe3caae7,2025-11-20,2025-11-20T10:39:01+00:00,doodle,/Users/family/dev/doodle,,,0,0,0,0,7992,7992,7992,0.0,0
codex,019aa0b7-fcd8-7b20-b38c-6fc1840a7a83,2025-11-20,2025-11-20T14:22:26+00:00,doodle,/Users/family/dev/doodle,gpt-5.1-codex-max,medium,0,0,0,0,6178772,6178772,6178772,0.0,0
codex,019aa1a7-1e92-7cd2-8f4d-2535b2e8e21f,2025-11-20,2025-11-20T14:33:38+00:00,doodle,/Users/family/dev/doodle,gpt-5.1-codex-max,medium,0,0,0,0,868741,868741,868741,0.0,0
codex,019aa5e2-5872-7833-a36c-c3bf0246fda5,2025-11-21,2025-11-21T10:10:27+00:00,doodle,/Users/family/dev/doodle,gpt-5.1-codex-max,medium,0,0,0,0,163224,163224,163224,0.0,0
codex,019aa1ac-79e0-72b3-bc8c-9e58ae4cd9cf,2025-11-21,2025-11-21T13:54:57+00:00,doodle,/Users/family/dev/doodle,gpt-5.1-codex-max,medium,0,0,0,0,2096162,2096162,2096162,0.0,0
codex,019aa6b0-87cf-79a2-bfd2-935ea086e794,2025-11-21,2025-11-21T13:58:36+00:00,dev,/Users/family/dev,gpt-5.1-codex-max,medium,0,0,0,0,83805,83805,83805,0.0,0
codex,019aa078-c7c0-7711-96d0-f3b393ff31ac,2025-11-21,2025-11-21T14:15:13+00:00,doodle,/Users/family/dev/doodle,gpt-5.1-codex-max,medium,0,0,0,0,6992184,6992184,6992184,0.0,0
codex,019aa6b5-f815-7eb2-b475-fff058b01955,2025-11-21,2025-11-21T14:25:20+00:00,codex-remote-dev,/Users/family/dev/codex-remote-dev,gpt-5.1-codex-max,medium,0,0,0,0,594068,594068,594068,0.0,0
codex,019aa6c6-629d-7530-b269-150083792ff4,2025-11-21,2025-11-21T14:27:49+00:00,doodle,/Users/family/dev/doodle,gpt-5.1-codex-max,medium,0,0,0,0,218698,218698,218698,0.0,0
codex,019aa6e3-89a3-7aa0-b0ab-e03e5dd49d3c,2025-11-21,2025-11-21T16:26:59+00:00,doodle,/Users/family/dev/doodle,gpt-5.1-codex-max,medium,0,0,0,0,6573844,6573844,6573844,0.0,0
codex,019aa6e1-f591-7b60-835f-8f233f5e7ffc,2025-11-22,2025-11-22T16:04:07+00:00,codex-remote-dev,/Users/family/dev/codex-remote-dev,gpt-5.1-codex-max,medium,0,0,0,0,18961509,18961509,18961509,0.0,0
codex,019ab1b6-5865-78a2-a889-8ec79a78b3bc,2025-11-23,2025-11-23T17:15:13+00:00,doodle,/Users/family/dev/doodle,gpt-5.1-codex-max,medium,0,0,0,0,4168,4168,4168,0.0,0
codex,019ab1b7-4e93-72e1-b19b-3736fde2ca00,2025-11-23,2025-11-23T17:29:31+00:00,doodle,/Users/family/dev/doodle,gpt-5.1-codex-max,medium,0,0,0,0,1925849,1925849,1925849,0.0,0
codex,019ab1cc-5cfb-7453-98d1-1a4cb58d293e,2025-11-23,2025-11-23T19:05:45+00:00,tokenotifier,/Users/family/dev/tokenotifier,gpt-5.1-codex-max,medium,0,0,0,0,924780,924780,924780,0.0,0
codex,019ac202-c946-7b71-a9ed-65fb785cd961,2025-11-26,2025-11-26T21:14:43+00:00,doodle,/Users/family/dev/doodle,gpt-5.1-codex-max,medium,0,0,0,0,360113,360113,360113,0.0,0
codex,019ac5c6-991e-70f2-9ba0-de0837e91320,2025-11-27,2025-11-27T14:50:41+00:00,doodle,/Users/family/dev/doodle,gpt-5.1-codex-max,medium,0,0,0,0,456449,456449,456449,0.0,0
